permno,date,RET,PRC,SHROUT
10145,199506,0.102167,44.5,284298
10145,199507,0.050562,46.75,284298
10145,199508,-0.046631,44.375,283160
10145,199509,-0.005634,44.125,283160
10145,199510,-0.036827,42.5,283160
10145,199511,0.119294,47.375,282853
10145,199512,0.002639,47.5,282853
10145,199601,0.05,49.875,282853
10145,199602,0.1198,55.625,282853
10145,199603,0.062921,59.125,282770
10145,199604,-0.019027,58,282770
10145,199605,-0.052155,54.75,282770
10145,199606,0.043379,57.125,282767
10145,199607,0.028446,58.75,282767
10145,199608,0.054894,61.75,282767
10145,199609,0.066802,65.875,282745
10145,199610,-0.005693,65.5,282745
10145,199611,0.121756,73.25,282745
10145,199612,-0.085324,67,282801
10145,199701,0.050373,70.375,282801
10145,199702,0.030337,72.25,282801
10145,199703,-0.013841,71.25,282815
10145,199704,0.014035,72.25,282815
10145,199705,0.065882,76.75,283012
10145,199706,0.094463,84,283012
10145,199707,0.098214,92.25,283012
10145,199708,-0.102195,82.5625,283012
10145,199709,0.029523,42.5,565970
10145,199710,-0.152941,36,565970
10145,199711,0.034861,37.125,564110
10145,199712,0.045455,38.8125,564110
10145,199801,0.003221,38.9375,564110
10145,199802,0.09695,42.5625,566017
10145,199803,-0.013216,42,567901
10145,199804,0.043155,43.8125,567901
10145,199805,-0.020827,42.75,567901
